,id,Label,wstrato,Longitude,Latitude,pop,income_level
476,515.0,515.0,3.580072904009721,-74.0856,4.61817,8230.0,3.0
477,516.0,516.0,2.9978284473398484,-74.102,4.61957,2763.0,2.0
478,517.0,517.0,4.0,-74.0737,4.62717,2856.0,3.0
479,518.0,518.0,2.9999999999999987,-74.09234000000002,4.603376,6168.0,2.0
480,519.0,519.0,3.6838365896980463,-74.0774,4.66148,12949.0,3.0
481,520.0,520.0,3.0,-74.0977,4.67416,9075.0,2.0
482,521.0,521.0,3.0,-74.0718,4.662730000000002,4778.0,2.0
483,522.0,522.0,3.0312500000000004,-74.074495,4.667763,6080.0,2.0
484,523.0,523.0,3.0,-74.0688,4.66933,9194.0,2.0
485,524.0,524.0,3.0000000000000013,-74.0724,4.66047,4972.0,2.0
486,525.0,525.0,3.985182089936036,-74.0841,4.66645,31111.0,3.0
487,526.0,526.0,3.6985145172180967,-74.0642,4.67621,8886.0,3.0
488,527.0,527.0,4.12029520295203,-74.0598,4.66675,1355.0,3.0
489,528.0,528.0,3.0,-74.0623,4.66467,3168.0,2.0
490,529.0,529.0,3.0,-74.0684,4.65644,8516.0,2.0
491,530.0,530.0,3.0000000000000013,-74.0748,4.6714400000000005,6458.0,2.0
492,531.0,531.0,3.2522255192878338,-74.0603,4.6587,674.0,2.0
493,532.0,532.0,3.0,-74.0647,4.651669999999998,3489.0,2.0
494,533.0,533.0,4.0,-74.0601,4.65752,97.0,3.0
495,534.0,534.0,3.0511344395529965,-74.0708,4.67459,2953.0,2.0
496,535.0,535.0,4.322469982847341,-74.0585,4.673,2915.0,3.0
497,536.0,536.0,4.2896,-74.0592,4.6702900000000005,1250.0,3.0
498,537.0,537.0,3.1609798775153104,-74.0604,4.6613,1143.0,2.0
499,538.0,538.0,2.9999999999999987,-74.066,4.66349,7616.0,2.0
